City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
puerto ayora,-0.74,-90.35,75.2,73,75,5.82,EC
talcahuano,-36.72,-73.12,57.2,76,40,12.75,CL
kaitangata,-46.28,169.85,50,65,100,1.99,NZ
tuktoyaktuk,69.45,-133.04,42.8,87,90,10.29,CA
teahupoo,-17.83,-149.27,78.8,74,20,2.24,PF
ola,59.58,151.28,56.32,79,0,3.2,RU
alta floresta,-9.88,-56.09,93.2,28,75,6.93,BR
rincon,32.3,-81.24,97,53,40,12.75,US
yulara,-25.24,130.99,46.4,93,75,5.82,AU
skibbereen,51.55,-9.27,60.8,55,20,11.41,IE
walla walla,46.06,-118.34,88,30,1,4.7,US
iqaluit,63.75,-68.51,46.4,100,90,4.7,CA
cidreira,-30.18,-50.21,72.91,72,99,2.26,BR
yenagoa,4.92,6.26,74.05,94,100,3.09,NG
kargil,34.57,76.1,55.51,47,0,7.47,IN
road town,18.42,-64.62,87.8,62,40,8.05,VG
myitkyina,25.38,97.4,73.13,96,100,1.86,MM
peace river,56.25,-117.29,69.8,64,40,3.36,CA
vaitape,-16.52,-151.75,78.15,81,40,25.08,PF
mokhsogollokh,61.47,128.92,66.51,91,100,7.76,RU
sur,22.57,59.53,87.35,66,81,16.89,OM
saint-pierre,-21.34,55.48,68,68,75,12.75,RE
qaanaaq,77.48,-69.36,47.07,74,100,0.87,GL
faanui,-16.48,-151.75,77.32,83,37,24.96,PF
saraland,30.82,-88.07,91.99,63,59,5.99,US
avarua,-21.21,-159.78,75.2,78,100,21.92,CK
klaksvik,62.23,-6.59,50,93,54,13.87,FO
san quintin,30.48,-115.95,79.3,45,0,19.53,MX
portland,45.52,-122.68,82.99,54,1,8.05,US
mbanza-ngungu,-5.25,14.87,75.34,37,0,4.72,CD
flin flon,54.77,-101.86,73.4,40,40,6.93,CA
vardo,70.37,31.11,53.6,87,100,12.75,NO
faridpur,23.6,89.83,78.8,94,75,9.17,BD
vao,-22.67,167.48,68.88,63,50,12.68,NC
lorengau,-2.02,147.27,82.06,72,73,6.62,PG
opuwo,-18.06,13.84,60.28,33,0,8.19,NA
kruisfontein,-34,24.73,59.99,95,98,5.66,ZA
torres,-29.34,-49.73,72.84,73,34,4.45,BR
porto walter,-8.27,-72.74,92.43,43,3,1.99,BR
villarrica,-25.75,-56.43,82.08,55,0,5.3,PY
kirakira,-10.45,161.92,75.24,82,9,7.7,SB
dunda,-8.12,34.25,57.07,66,0,2.17,TZ
new norfolk,-42.78,147.06,46.99,88,83,1.01,AU
mahebourg,-20.41,57.7,69.8,60,75,10.29,MU
ciudad bolivar,8.12,-63.55,88.86,59,65,3.11,VE
pisco,-13.7,-76.22,62.01,87,90,6.93,PE
esik,43.36,77.45,73.4,40,75,4.47,KZ
nemuro,43.32,145.57,59.72,95,55,2.17,JP
karratha,-20.74,116.85,67.03,50,0,12.21,AU
nanortalik,60.14,-45.24,51.01,64,2,3.02,GL
sitka,57.05,-135.33,57.2,93,90,11.41,US
margate,51.38,1.39,64,68,0,1.99,GB
cherskiy,68.75,161.3,67.57,45,86,4.81,RU
east london,-33.02,27.91,65.71,39,0,3.42,ZA
upernavik,72.79,-56.15,51.06,47,0,10.49,GL
asopos,36.73,22.87,75.78,66,0,1.12,GR
catuday,16.29,119.81,79.88,80,9,5.66,PH
miramar,25.99,-80.23,91,62,40,16.11,US
havoysund,71,24.66,55.4,100,90,5.82,NO
turochak,52.26,87.12,59.79,88,85,1.34,RU
riyadh,24.69,46.72,100.4,12,100,8.05,SA
souillac,-20.52,57.52,69.8,60,75,10.29,MU
carazinho,-28.28,-52.79,70.9,77,34,8.32,BR
qaqortoq,60.72,-46.03,68,37,20,9.17,GL
mar del plata,-38,-57.56,53.6,100,90,14.99,AR
ponta do sol,32.67,-17.1,71.01,64,1,4.09,PT
baykit,61.67,96.37,49.24,86,2,3.2,RU
santa cruz,-17.8,-63.17,87.8,52,40,21.92,BO
santiago del estero,-27.8,-64.26,77.09,49,100,9.53,AR
dunedin,-45.87,170.5,50,76,100,1.99,NZ
vila velha,-20.33,-40.29,78.8,69,40,6.93,BR
nantucket,41.28,-70.1,80.01,88,90,11.41,US
adrar,20.5,-10.07,103.77,13,8,11.25,MR
jamestown,42.1,-79.24,81,53,40,13.87,US
linhares,-19.39,-40.07,73.04,83,88,6.06,BR
hunterville,-39.93,175.57,55,93,93,5.12,NZ
fortuna,40.6,-124.16,59,87,90,5.82,US
sawtell,-30.38,153.1,44.01,86,70,2.24,AU
airai,-8.93,125.41,54.57,88,0,2.35,TL
labrea,-7.26,-64.8,96.21,31,47,3.96,BR
cockburn town,21.46,-71.14,87.8,62,40,13.87,TC
troitsko-pechorsk,62.71,56.2,56.52,69,0,6.33,RU
hasaki,35.73,140.83,69.01,100,75,4.7,JP
mezhdurechensk,53.69,88.06,61.7,89,23,1.41,RU
luganville,-15.53,167.17,68,82,40,3.53,VU
manzhouli,49.6,117.43,54.03,61,4,14.07,CN
eureka,40.8,-124.16,66,87,66,1.99,US
namatanai,-3.67,152.43,78.93,82,4,5.77,PG
capivari,-23,-47.51,82.99,31,0,5.82,BR
grand gaube,-20.01,57.66,66.99,72,70,5.99,MU
progreso,21.28,-89.67,96.01,55,75,4.7,MX
temerloh,3.45,102.42,74.64,96,75,0.36,MY
bembibre,42.62,-6.42,86,44,7,3,ES
weligama,5.97,80.42,79.12,85,100,8.84,LK
cayenne,4.93,-52.33,86,66,100,8.05,GF
san borja,-14.82,-66.85,92.79,39,21,6.17,BO
yumen,40.28,97.2,76.55,31,100,21.07,CN
jiujiang,29.73,115.98,72.72,90,100,2.3,CN
esplanada,-11.8,-37.95,77.31,65,43,8.19,BR
derzhavinsk,51.1,66.32,75.25,41,16,6.64,KZ
baherden,38.44,57.43,95.72,10,0,8.28,TM
weinan,34.5,109.51,81,83,98,6.71,CN
bridlington,54.08,-0.19,62.6,59,100,5.82,GB
zaria,11.11,7.72,74.37,83,100,7.94,NG
shimoda,34.67,138.95,71.01,96,100,7.18,JP
sao filipe,14.9,-24.5,78.08,75,52,10.65,CV
harnosand,62.63,17.94,64,100,100,2.24,SE
olafsvik,64.89,-23.71,50.58,71,0,2.19,IS
pevek,69.7,170.31,45.93,58,0,3.33,RU
cabo san lucas,22.89,-109.91,93.2,32,5,17.22,MX
dikson,73.51,80.55,41.02,97,100,13.15,RU
lexington,37.99,-84.48,89.6,59,40,9.17,US
kodiak,57.79,-152.41,69.8,52,1,13.87,US
natal,-5.79,-35.21,75.2,88,75,16.11,BR
anadyr,64.75,177.48,50,76,0,6.71,RU
mayumba,-3.43,10.66,71.1,90,100,2.66,GA
bathurst,-33.42,149.58,36,99,5,3.36,AU
kontagora,10.4,5.47,77.18,83,12,4.18,NG
itoman,26.12,127.67,82.4,88,20,4.7,JP
taoudenni,22.68,-3.98,107.53,12,2,6.93,ML
lagoa,39.05,-27.98,69.8,71,12,5.66,PT
belle fourche,44.67,-103.85,78.01,60,1,6.93,US
basoko,1.24,23.62,72.84,75,0,3.24,CD
ramos arizpe,25.55,-100.97,78.8,50,75,11.61,MX
karlskrona,56.16,15.59,62.6,59,0,10.29,SE
bolshoye selo,57.72,38.93,58.89,98,100,1.52,RU
russell,32.35,-85.2,96.8,44,40,3.36,US
petropavlovsk-kamchatskiy,53.05,158.65,51.8,100,75,4.47,RU
huarmey,-10.07,-78.15,66.85,67,7,10.33,PE
bulgan,48.81,103.53,54.21,85,0,1.97,MN
broome,42.25,-75.83,86,42,75,12.75,US
harper,4.38,-7.72,77.2,85,97,10.6,LR
tromso,69.65,18.96,55.4,87,75,18.34,NO
usinsk,65.99,57.53,54.37,78,48,1.39,RU
zhigansk,66.77,123.37,60.71,94,100,7.16,RU
makakilo city,21.35,-158.09,80.6,61,90,6.93,US
iralaya,15,-83.23,89.6,70,40,9.17,HN
flinders,-34.58,150.86,48.99,67,0,4,AU
merauke,-8.47,140.33,74.8,87,39,11.74,ID
tomohon,1.33,124.84,75.2,94,40,2.98,ID
tiznit,29.58,-9.5,76.62,55,0,6.44,MA
sao joao da barra,-21.64,-41.05,78.8,61,0,13.87,BR
nikolskoye,59.7,30.79,69.8,60,20,2.24,RU
santana do livramento,-30.89,-55.53,71.74,80,100,9.26,BR
san rafael,-34.62,-68.33,51.75,61,100,9.33,AR
ambilobe,-13.2,49.05,66.15,73,0,4.03,MG
chiredzi,-21.05,31.67,58.71,72,0,5.48,ZW
beringovskiy,63.05,179.32,45.73,82,10,11.79,RU
yerbogachen,61.28,108.01,49.17,76,24,4.27,RU
lompoc,34.64,-120.46,68,72,0,13.87,US
necochea,-38.55,-58.74,50,97,99,15.99,AR
spornoye,50.84,37.29,68,60,75,4.47,RU
gazanjyk,39.24,55.52,90.97,21,0,7.36,TM
bronnitsy,55.42,38.27,64.4,88,59,4.47,RU
mezen,65.85,44.24,61.86,66,0,5.19,RU
ust-kuyga,70.02,135.6,69.75,72,2,1.77,RU
ugljevik,44.66,19.02,73,83,0,2.24,BA
mayo,38.89,-76.51,95,47,1,11.41,US
west memphis,35.15,-90.18,95,49,1,8.05,US
kaka,37.35,59.61,89.22,14,0,8.9,TM
aklavik,68.22,-135.01,50,81,90,10.29,CA
simao,22.79,100.97,64.72,96,94,1.68,CN
longyearbyen,78.22,15.64,44.6,87,75,3.36,SJ
grindavik,63.84,-22.43,51.8,66,75,8.05,IS
afonso bezerra,-5.5,-36.51,85.01,52,83,18.61,BR
changli,39.7,119.15,72.1,71,78,1.59,CN
elbistan,38.21,37.2,76.03,38,0,3.78,TR
port moresby,-9.44,147.18,75.2,94,40,11.41,PG
wagar,16.15,36.2,90.54,36,100,11.07,SD
viking,53.1,-111.77,67.62,71,13,8.72,CA
meulaboh,4.14,96.13,78.42,85,100,4.36,ID
broken hill,-31.95,141.43,46.4,70,100,10.29,AU
luderitz,-26.65,15.16,69.8,33,0,4.7,NA
touros,-5.2,-35.46,75.2,100,75,9.17,BR
avera,33.19,-82.53,96.8,41,40,4.7,US
sal rei,16.18,-22.92,82.4,65,40,12.75,CV
pedernales,18.04,-71.74,91.4,59,20,17.22,DO
gigmoto,13.78,124.39,81.21,82,74,5.35,PH
coolum beach,-26.53,153.1,60.01,72,100,1.99,AU
kavieng,-2.57,150.8,81.61,75,2,4.21,PG
viedma,-40.81,-63,50,85,100,4,AR
geraldton,-28.77,114.6,46.4,81,0,11.41,AU
zunyi,27.69,106.91,65.88,93,100,3.04,CN
namibe,-15.2,12.15,66.74,69,9,3.49,AO
bulawayo,-20.15,28.58,51.53,67,0,11.43,ZW
port hardy,50.7,-127.42,62.6,88,40,9.17,CA
kampot,10.62,104.18,78.8,88,40,1.12,KH
torbay,47.67,-52.73,80.01,53,75,14.99,CA
richards bay,-28.78,32.04,63.05,79,0,9.55,ZA
jimeta,9.28,12.47,75.65,84,100,0.45,NG
lumeje,-11.55,20.78,61.92,40,0,5.48,AO
riverton,40.52,-111.94,91,19,1,4.7,US
thompson,55.74,-97.86,77,33,75,3.36,CA
asyut,27.18,31.18,92.16,17,0,11.39,EG
ancud,-41.87,-73.82,53.6,71,7,5.82,CL
marsh harbour,26.54,-77.06,84.83,66,78,13.24,BS
bubaque,11.28,-15.83,80.04,84,100,20.71,GW
hualmay,-11.1,-77.61,65.77,68,14,10.09,PE
jevargi,17.02,76.77,81.81,76,100,6.6,IN
naze,28.37,129.48,78.8,100,20,3.36,JP
severo-kurilsk,50.68,156.12,49.62,84,14,3.58,RU
biak,-0.91,122.88,75.9,84,21,5.32,ID
talnakh,69.49,88.4,50,100,90,8.95,RU
roma,43.21,-75.46,84.2,48,20,14.99,US
coquimbo,-29.95,-71.34,62.6,67,0,11.41,CL
toba,34.48,136.85,77,94,75,4.7,JP
tuburan,6.64,122.27,77,100,20,2.24,PH
alofi,-19.06,-169.92,77,94,75,5.82,NU
bilibino,68.05,166.44,62.28,42,35,1.63,RU
nezhinka,51.77,55.37,68,52,0,6.71,RU
ouahigouya,13.58,-2.42,90.1,44,100,10.76,BF
caravelas,-17.71,-39.25,76.46,70,0,8.25,BR
rundu,-17.93,19.77,64.4,31,0,3.36,NA
damghan,36.17,54.35,83.35,25,0,1.16,IR
laguna,38.42,-121.42,78.01,50,5,10.29,US
bac lieu,9.29,105.72,81.27,76,100,2.82,VN
nador,35.17,-2.93,78.8,78,20,5.82,MA
campbellsville,37.34,-85.34,91.4,52,40,6.93,US
moussoro,13.64,16.49,81.09,65,2,10.47,TD
sao jose da coroa grande,-8.9,-35.15,77.16,72,76,11.86,BR
adre,13.47,22.2,78.57,65,81,1.9,TD
hovd,48.01,91.64,68.88,52,94,3.15,MN
izhma,65.01,53.91,58.95,65,0,4.54,RU
umm lajj,25.02,37.27,87.46,58,91,3.42,SA
daru,-9.08,143.21,75.96,87,46,13.02,PG
ipameri,-17.72,-48.16,78.35,36,0,10.07,BR
kuusamo,65.97,29.18,69.8,68,68,5.82,FI
trail,49.1,-117.7,88.61,26,0,0.63,CA
arak,34.09,49.69,76.64,22,0,5.66,IR
marion,39.77,-86.16,84.99,51,1,4.7,US
srednekolymsk,67.45,153.68,68.29,52,100,12.06,RU
awjilah,29.11,21.29,84.11,39,0,17.96,LY
laje,-10.18,-40.97,79.86,39,24,14.88,BR
podporozhye,60.91,34.17,61.86,64,100,3.24,RU
fayaoue,-20.65,166.53,69.82,63,71,7.74,NC
batagay-alyta,67.8,130.41,59.76,90,100,0.89,RU
diamantino,-14.41,-56.45,91.65,25,0,6.73,BR
champerico,14.3,-91.92,87.8,70,75,13.87,GT
narsaq,60.92,-46.05,68,37,20,9.17,GL
norman wells,65.28,-126.83,60.8,77,75,2.24,CA
todos santos,23.45,-110.22,78.01,79,0,8.01,MX
gilbues,-9.83,-45.34,89.31,26,0,8.46,BR
talaya,61.38,152.75,56.14,63,0,5.21,RU
sambava,-14.27,50.17,69.28,81,79,15.99,MG
mehamn,71.04,27.85,50,100,90,3.36,NO
uige,-7.61,15.06,66.92,30,14,1.21,AO
gibara,21.11,-76.13,75.2,83,75,11.41,CU
codrington,-38.27,141.97,50.29,77,100,6.98,AU
ginda,30.69,78.49,63.79,82,100,1.79,IN
liwale,-9.77,37.93,70.52,51,91,2.59,TZ
ahipara,-35.17,173.17,56.62,92,80,7.54,NZ
hamilton,39.18,-84.53,91.99,43,1,7.31,US
luanda,-8.84,13.23,71.6,83,20,4.7,AO
manjeshwar,12.72,74.89,77,88,75,5.82,IN
kapuskasing,49.42,-82.43,60.8,82,90,12.75,CA
maldonado,-34.67,-54.92,77,61,100,10.29,UY
hastings,50.86,0.57,63,61,8,1.01,GB
west wendover,40.74,-114.07,91.4,13,1,11.41,US
obidos,-1.92,-55.52,90.95,44,64,6.85,BR
sainte-martine,45.25,-73.8,84.99,54,72,5.99,CA
moultrie,31.18,-83.79,95,46,1,3.36,US
turukhansk,65.82,87.98,49.78,86,7,9.42,RU
makat,47.65,53.35,89.51,24,9,8.48,KZ
fougamou,-1.22,10.58,75.42,83,100,3.15,GA
lingao,19.91,109.69,80.51,79,79,11.61,CN
ranong,9.97,98.63,80.11,83,100,3.22,TH
korla,41.76,86.15,70.25,53,96,5.21,CN
high level,58.52,-117.14,73.4,60,75,4.7,CA
malinovoye ozero,51.68,79.78,70.39,66,0,7.4,RU
soloneshnoye,51.65,84.32,62.46,82,96,2.82,RU
acapulco,16.86,-99.89,87.8,74,75,9.17,MX
vredendal,-31.67,18.5,61.92,32,0,2.95,ZA
gemena,3.25,19.77,69.69,95,45,2.13,CD
aksarka,66.56,67.8,56.34,68,35,8.88,RU
atambua,-9.11,124.89,66.81,87,0,4.94,ID
colac,-38.33,143.58,43,99,90,4.47,AU
fenoarivo atsinanana,-17.37,49.42,67.33,81,28,11.7,MG
ahuimanu,21.44,-157.84,82.4,65,20,10.29,US
nabire,-3.37,135.48,74.37,89,98,4.27,ID
pacific grove,36.62,-121.92,64.4,72,75,9.17,US
evensk,61.95,159.23,58.86,69,0,7.47,RU
xinyu,27.8,114.93,73.6,97,100,2.68,CN
okhotsk,59.38,143.3,55.96,90,100,2.68,RU
de-kastri,51.47,140.78,60.39,91,100,10.4,RU
san andres,12.58,-81.7,87.8,70,40,10.29,CO
isangel,-19.55,169.27,59,100,20,3.36,VU
port-cartier,50.03,-66.87,77,69,75,10.29,CA
ossora,59.24,163.07,51.96,86,47,9.62,RU
la calera,-31.34,-64.34,53.6,87,90,12.75,AR
do gonbadan,30.36,50.8,100.4,15,40,7.18,IR
saskylakh,71.92,114.08,50.76,66,83,4.97,RU
graciano sanchez,23.92,-99.28,96.8,28,20,8.05,MX
port hedland,-20.32,118.57,60.8,59,0,9.17,AU
marrakesh,31.63,-8.01,95,36,40,10.29,MA
moree,-29.47,149.85,35.6,76,100,10.29,AU
san matias,-16.37,-58.4,96.04,22,1,6.93,BO
faya,18.39,42.45,68,68,53,5.82,SA
bathsheba,13.22,-59.52,86,70,40,19.46,BB
vestmanna,62.16,-7.17,50,93,73,13.87,FO
kalabo,-14.97,22.68,58.15,46,1,5.26,ZM
osypenko,46.91,36.83,75.99,100,5,8.01,UA
svetlogorsk,52.63,29.73,64.51,80,49,4.74,BY
micheweni,-4.97,39.83,75.49,77,0,15.64,TZ
altamont,42.21,-121.74,88,26,1,4.9,US
arraial do cabo,-22.97,-42.03,78.8,69,0,13.87,BR
wuppertal,51.27,7.18,71.01,46,100,6.46,DE
brokopondo,4.75,-55.17,87.3,58,62,6.69,SR
oktyabrskoye,43.06,44.74,78.8,74,0,2.24,RU
mongo,12.18,18.69,76.84,73,100,6.11,TD
listvyagi,53.68,86.95,63.03,86,5,0.4,RU
thunder bay,48.4,-89.32,68,59,90,4.7,CA
copiapo,-27.37,-70.33,68,40,100,14.99,CL
orito,0.68,-76.88,80.6,78,75,5.82,CO
yermakovskoye,53.28,92.4,58.12,86,13,2.57,RU
sao desiderio,-12.36,-44.97,85.57,28,7,7.56,BR
shelburne,44.08,-80.2,78.01,53,75,12.75,CA
marmora,44.46,7.09,80.01,73,0,4.7,IT
camacha,33.08,-16.33,71.6,64,40,19.46,PT
kizukuri,40.81,140.39,69.01,94,100,2.62,JP
yamada,39.47,141.95,66.72,91,100,5.66,JP
katsuura,35.13,140.3,75,92,100,7,JP
boguchany,58.38,97.45,55.11,70,100,3.4,RU
seredeyskiy,54.05,35.23,59.54,94,0,5.93,RU
ilulissat,69.22,-51.1,57.2,41,75,4.7,GL
abu samrah,35.3,37.18,80.24,38,0,8.7,SY
victoria,22.29,114.16,84,79,98,4.83,HK
voi,-3.39,38.56,68.07,71,0,11.95,KE
mianyang,31.46,104.75,69.6,96,100,2.86,CN
leh,34.17,77.58,57.09,47,53,3.85,IN
bothell,47.76,-122.21,82,69,1,6.93,US
nchelenge,-9.35,28.73,67.05,58,0,4.27,ZM
erdemli,36.6,34.31,80.71,64,0,5.68,TR
jiuquan,39.74,98.52,74.68,19,100,3.51,CN
inongo,-1.95,18.27,72.95,49,0,2.08,CD
lasa,46.62,10.7,68,49,20,1.12,IT
xingyi,24.19,102.82,60.91,99,100,3.49,CN
gambela,8.25,34.58,70.47,92,100,2.68,ET
loa janan,-0.58,117.09,74.05,98,46,2.24,ID
kholtoson,50.3,103.31,50.85,85,19,2.24,RU
burnie,-41.07,145.92,46,88,66,10,AU
gallup,35.53,-108.74,89.6,14,1,4.7,US
porbandar,21.64,69.61,83.82,81,91,16.31,IN
hervey bay,-25.3,152.85,55.99,84,100,5.01,AU
hun,29.13,15.95,84.79,36,0,18.59,LY
tiksi,71.69,128.87,45.3,85,100,13.62,RU
breves,-1.68,-50.48,90.86,46,80,4.34,BR
nautla,20.22,-96.78,87.91,57,70,11.68,MX
constitucion,-35.33,-72.42,56.21,77,87,10.29,CL
suruc,36.98,38.42,86,25,0,16.11,TR
amalapuram,16.58,82.02,82.24,84,100,6.8,IN
andenes,69.31,16.12,55.4,82,75,4.7,NO
piacabucu,-10.41,-36.43,77.7,73,42,11.16,BR
sawakin,19.11,37.33,96.67,28,100,5.5,SD
otradnoye,59.78,30.82,69.8,60,20,2.24,RU
atar,20.52,-13.05,107.6,17,20,2.24,MR
enid,36.4,-97.88,96.8,46,20,9.17,US
poya,-21.35,165.15,65.12,71,98,3.18,NC
odemira,37.6,-8.64,82.99,78,0,10,PT
sorland,67.67,12.69,57.2,71,40,6.93,NO
panzhihua,26.59,101.71,72.32,77,100,1.1,CN
nkowakowa,-23.89,30.29,57.2,24,0,6.93,ZA
oranjemund,-28.55,16.43,65.07,37,0,4.81,NA
omsukchan,62.53,155.8,55.83,68,0,3.78,RU
sungaipenuh,-2.08,101.38,65.66,95,100,3.85,ID
ilhabela,-23.78,-45.36,74.89,58,0,4.29,BR
salekhard,66.53,66.6,56.23,70,50,7.25,RU
keti bandar,24.14,67.45,86.5,77,100,22.28,PK
liverpool,53.41,-2.98,60.8,55,20,8.05,GB
iranshahr,27.2,60.68,100.4,9,83,4.7,IR
zabol,32.25,67.25,74.68,19,0,19.17,AF
petrokamenskoye,57.72,60.65,59.86,73,45,9.95,RU
maniitsoq,65.42,-52.9,45.73,90,100,6.69,GL
murchison,-41.8,172.33,49.48,85,100,1.43,NZ
burns lake,54.23,-125.75,72.61,44,75,6.38,CA
egvekinot,66.32,-179.17,44.49,74,74,4.92,RU
goderich,43.75,-81.72,73.99,69,0,9.6,CA
noyabrsk,63.2,75.45,54.19,76,51,12.15,RU
oktyabrskiy,54.48,53.47,61.38,88,0,4.07,RU
sanming,26.25,117.62,78.51,77,100,1.97,CN
puerto escondido,15.85,-97.07,86,70,75,8.05,MX
neenah,44.19,-88.46,75.99,38,75,6.93,US
san cristobal,7.77,-72.22,89.6,46,75,23.04,VE
tuatapere,-46.13,167.68,39,83,89,3,NZ
yatou,37.15,122.38,69.01,88,0,5.61,CN
nouadhibou,20.93,-17.03,86,55,0,5.82,MR
cabildo,-38.48,-61.9,46.99,99,88,1.99,AR
vologda,59.22,39.89,59.68,89,100,0.38,RU
kirillov,59.86,38.38,60.35,91,100,1.72,RU
maragogi,-9.01,-35.22,76.62,74,89,11.25,BR
lichuan,30.3,108.85,63.61,96,100,3.85,CN
beyneu,45.32,55.2,89.37,21,0,6.82,KZ
klyuchi,52.27,79.17,68.59,87,64,9.86,RU
seydisehir,37.42,31.85,70.66,51,0,2.15,TR
clyde river,70.47,-68.59,42.8,100,90,12.75,CA
aksha,50.28,113.29,47.28,70,78,4.29,RU
dakar,14.69,-17.44,87.8,70,40,9.17,SN
grand-santi,4.25,-54.38,80.83,92,98,4.18,GF
villazon,-22.09,-65.59,67.93,17,77,8.28,BO
rio grande,-32.03,-52.1,87.8,40,98,8.05,BR
hami,42.8,93.45,87.15,20,100,6.11,CN
redlands,34.06,-117.18,90,21,5,3.36,US
tobermory,45.25,-81.67,69.01,74,24,8.99,CA
luena,-11.78,19.92,57.02,47,0,3.42,AO
mulanur,10.77,77.72,77.85,79,100,10.78,IN
santa fe,-31.63,-60.7,74.37,62,100,1.79,AR
oranjestad,12.52,-70.03,89.6,66,20,25.28,AW
shumikha,55.23,63.3,63.36,95,100,7.29,RU
ust-karsk,52.7,118.81,49.66,90,54,5.5,RU
berlevag,70.86,29.09,50,100,90,3.36,NO
arlit,18.74,7.39,99.39,19,22,7.85,NE
shangqiu,34.45,115.65,72.45,81,100,4.72,CN
vanimo,-2.67,141.3,78.3,82,93,5.97,PG
vestmannaeyjar,63.44,-20.27,53.6,58,20,8.05,IS
kaniama,-7.57,24.18,68.67,30,0,3.65,CD
kamenka,51.32,42.77,64.99,78,0,4.43,RU
